05-24 10:52:> dabolinkbot has joined the channel
05-24 10:53:> dabolink has joined the channel
05-24 10:53:> dabolinkbot has joined the channel
05-25 21:41:> dabolink has joined the channel
05-25 21:41:> dabolinkbot has joined the channel
05-25 22:23:> dabolink has joined the channel
05-25 22:23:> dabolinkbot has joined the channel
05-25 22:25:> dabolink has joined the channel
05-25 22:25:> dabolinkbot has joined the channel
05-25 22:38:> dabolinkbot has joined the channel
05-25 23:20:> dabolink has joined the channel
05-25 23:20:> dabolinkbot has joined the channel
05-25 23:25:> dabolink has joined the channel
05-25 23:25:> dabolinkbot has joined the channel
05-25 23:26:> dabolink has joined the channel
05-25 23:26:> dabolinkbot has joined the channel
05-25 23:31:> dabolink has joined the channel
05-25 23:31:> dabolinkbot has joined the channel
05-26 00:06 :> dabolink has joined the channel
05-26 00:06 :> dabolinkbot has joined the channel
05-26 00:07 :> dabolink has joined the channel
05-26 00:07 :> dabolinkbot has joined the channel
05-26 00:09 :> dabolink has joined the channel
05-26 00:09 :> dabolinkbot has joined the channel
05-26 00:20 :> dabolink has joined the channel
05-26 00:20 :> dabolinkbot has joined the channel
05-26 16:03 :> dabolinkbot has joined the channel
05-26 16:03 :> dabolink has joined the channel
05-26 16:03 :> got userstats for dabolink : (u'dabolink', 0.08199944444444444, 0.0, 3)
05-26 16:06 :> dabolink has joined the channel
05-26 16:06 :> dabolinkbot has joined the channel
05-26 16:09 :> dabolink has joined the channel
05-26 16:09 :> dabolinkbot has joined the channel
05-26 16:13 :> dabolink has joined the channel
05-26 16:13 :> dabolinkbot has joined the channel
05-26 16:14 :> dabolink has joined the channel
05-26 16:14 :> dabolinkbot has joined the channel
05-26 19:47 :> dabolinkbot has joined the channel
05-28 00:06 :> dabolink has joined the channel
05-28 00:06 :> dabolinkbot has joined the channel
05-28 00:08 :> dabolink has joined the channel
05-28 00:08 :> dabolinkbot has joined the channel
05-28 00:10 :> dabolink has joined the channel
05-28 00:10 :> dabolinkbot has joined the channel
05-28 00:11 :> dabolink has joined the channel
05-28 00:11 :> dabolinkbot has joined the channel
05-28 00:13 :> dabolink has joined the channel
05-28 00:13 :> dabolinkbot has joined the channel
05-28 00:14 :> dabolink has joined the channel
05-28 00:14 :> dabolinkbot has joined the channel
05-28 00:17 :> dabolink has joined the channel
05-28 00:17 :> dabolinkbot has joined the channel
05-28 00:19 :> dabolink has joined the channel
05-28 00:19 :> dabolinkbot has joined the channel
05-28 00:20 :> dabolink has joined the channel
05-28 00:20 :> dabolinkbot has joined the channel
05-28 00:26 :> dabolink has joined the channel
05-28 00:26 :> dabolinkbot has joined the channel
05-28 00:27 :> dabolink has joined the channel
05-28 00:27 :> dabolinkbot has joined the channel
05-28 00:28 :> dabolink has joined the channel
05-28 00:28 :> dabolinkbot has joined the channel
05-28 00:29 :> dabolink has joined the channel
05-28 00:29 :> dabolinkbot has joined the channel
05-28 00:29 :> dabolink has joined the channel
05-28 00:29 :> dabolinkbot has joined the channel
05-28 00:30 :> dabolink has joined the channel
05-28 00:30 :> dabolinkbot has joined the channel
05-28 00:30 :> dabolink has joined the channel
05-28 00:30 :> dabolinkbot has joined the channel
05-28 00:34 :> dabolink has joined the channel
05-28 00:34 :> dabolinkbot has joined the channel
05-29 10:52 :> dabolinkbot has joined the channel
05-29 11:00 :> dabolink has joined the channel
05-29 11:00 :> dabolinkbot has joined the channel
05-29 11:02 :> dabolink has joined the channel
05-29 11:02 :> dabolinkbot has joined the channel
05-29 11:03 :> dabolink has joined the channel
05-29 11:03 :> dabolinkbot has joined the channel
05-29 11:04 :> dabolink has joined the channel
05-29 11:04 :> dabolinkbot has joined the channel
05-29 11:05 :> dabolink has joined the channel
05-29 11:05 :> dabolinkbot has joined the channel
05-29 13:19 :> dabolinkbot has joined the channel
05-29 13:20 :> dabolinkbot has joined the channel
05-29 13:21 :> dabolink has joined the channel
05-29 13:21 :> dabolinkbot has joined the channel
05-29 13:24 :> dabolink has joined the channel
05-29 13:24 :> dabolinkbot has joined the channel
05-29 13:28 :> dabolink has joined the channel
05-29 13:28 :> dabolinkbot has joined the channel
05-29 13:29 :> dabolink has joined the channel
05-29 13:29 :> dabolinkbot has joined the channel
05-29 13:29 :> dabolink has joined the channel
05-29 13:29 :> dabolinkbot has joined the channel
05-29 13:46 :> dabolink has joined the channel
05-29 13:46 :> dabolinkbot has joined the channel
06-03 00:30 :> dabolinkbot has joined the channel
06-03 00:32 :> dabolinkbot has joined the channel
06-03 00:36 :> dabolinkbot has joined the channel
06-03 00:39 :> dabolinkbot has joined the channel
07-08 15:11 :> dabolinkbot has joined the channel
